material_cost,labor_cost,base_cost,trend_multiplier,category_encoded,complexity_level_encoded,region_encoded,season_encoded,final_selling_price
264.19,114.8,378.99,0.996,2,2,3,3,730.94
72.55,30.1,102.65,0.958,7,2,0,0,158.53
693.25,326.6,1019.85,1.079,6,2,3,0,1718.54
758.59,306.16,1064.75,0.996,2,2,0,3,2080.53
589.79,320.31,910.0999999999999,0.913,10,2,5,0,1573.91
33.31,22.75,56.06,1.077,3,2,3,3,93.16
636.08,426.87,1062.95,0.963,6,2,1,1,1752.24
308.81,111.65,420.46000000000004,1.172,0,1,6,3,1046.02
45.58,29.99,75.57,0.863,1,1,4,1,136.91
138.85,91.02,229.87,0.902,0,0,0,1,601.96
96.17,39.68,135.85,0.987,3,0,3,0,308.88
119.34,39.67,159.01,0.906,1,2,4,2,204.9
635.6,321.89,957.49,0.891,6,3,6,2,3261.31
404.58,164.59,569.17,0.925,5,2,6,2,1028.62
220.8,80.41,301.21000000000004,1.021,5,0,5,0,857.32
268.73,100.96,369.69,0.97,4,3,5,1,1114.14
30.46,19.13,49.59,0.95,3,1,1,1,79.26
177.94,98.51,276.45,0.875,0,3,3,2,877.78
158.29,74.85,233.14,1.143,5,2,0,3,478.08
528.34,172.84,701.1800000000001,0.891,6,2,5,2,1060.4
86.83,28.06,114.89,1.14,7,0,3,3,282.56
233.79,130.7,364.49,1.034,9,0,1,0,1024.98
746.2,468.25,1214.45,1.043,8,2,3,3,2354.85
658.05,418.51,1076.56,1.077,8,1,4,0,2885.37
770.52,277.71,1048.23,0.991,10,1,0,1,2016.39
680.49,411.04,1091.53,0.963,6,3,4,1,3236.8
168.99,65.1,234.09,1.172,0,1,5,3,496.4
207.31,107.24,314.55,0.97,4,0,6,1,656.57
288.15,183.81,471.96,0.962,4,0,4,2,1168.0
560.33,384.95,945.28,1.021,5,0,5,0,2607.84
243.97,97.35,341.32,1.002,4,2,1,0,555.95
168.0,90.07,258.07,1.065,4,2,2,3,427.77
77.1,37.93,115.03,1.14,7,2,6,3,197.12
333.96,105.48,439.44,0.875,0,1,3,2,896.25
599.63,184.29,783.92,1.067,2,2,5,0,1437.32
243.45,125.06,368.51,0.972,10,2,6,2,624.81
68.65,47.44,116.09,1.14,7,0,6,3,293.38
45.07,15.41,60.480000000000004,1.077,3,0,6,3,155.08
427.47,233.05,660.52,1.143,5,0,3,3,1947.48
345.19,166.01,511.2,1.172,0,0,5,3,1514.53
275.7,148.14,423.84,0.97,4,2,2,1,611.21
343.48,149.33,492.81000000000006,0.97,4,0,6,1,1033.71
966.44,567.96,1534.4,0.98,8,1,0,2,3367.2
339.68,194.33,534.01,0.963,2,3,0,2,1640.75
145.29,67.76,213.05,1.14,7,0,3,3,612.34
693.21,219.08,912.2900000000001,1.089,6,2,5,3,1762.66
211.4,137.28,348.68,1.065,4,1,4,3,822.55
85.42,37.9,123.32,0.863,1,1,0,1,203.57
139.47,81.78,221.25,1.034,9,1,1,0,536.74
915.14,425.73,1340.87,1.043,8,1,2,3,3249.56
200.23,101.3,301.53,1.002,4,2,5,0,471.8
193.64,89.0,282.64,0.953,9,2,3,1,454.31
368.16,145.35,513.51,0.891,6,2,5,2,765.86
76.78,33.38,110.16,0.976,3,2,2,2,160.26
114.81,42.11,156.92000000000002,0.962,7,1,0,2,279.94
224.05,137.28,361.33000000000004,1.002,4,1,1,0,787.33
344.09,118.63,462.71999999999997,0.996,2,1,1,3,1101.76
115.51,64.22,179.73000000000002,0.936,9,2,4,2,267.49
428.98,135.83,564.8100000000001,1.079,6,3,4,0,1811.55
159.56,68.49,228.05,0.963,6,1,0,1,486.77
886.62,502.49,1389.1100000000001,0.914,8,1,1,1,2848.68
604.06,415.57,1019.6299999999999,0.972,10,0,6,2,2360.78
874.34,351.59,1225.93,1.067,2,2,2,0,2328.63
756.86,505.18,1262.04,0.963,2,0,0,2,3460.62
341.72,124.29,466.01000000000005,1.089,6,1,3,3,1113.35
283.16,95.2,378.36,0.962,4,0,3,2,852.29
198.11,112.34,310.45000000000005,1.172,0,0,4,3,949.14
360.67,162.4,523.07,0.953,9,0,1,1,1204.37
739.75,339.15,1078.9,1.077,8,2,1,0,2191.71
141.36,46.55,187.91000000000003,0.97,4,1,3,1,349.07
78.81,53.64,132.45,0.95,3,0,3,1,294.62
231.95,118.45,350.4,0.891,6,0,3,2,838.16
648.13,379.93,1028.06,1.155,10,1,1,3,2415.88
506.11,333.63,839.74,0.891,6,2,1,2,1254.74
243.75,92.09,335.84000000000003,1.056,0,1,5,0,702.86
384.37,238.77,623.14,1.155,10,2,5,3,1130.44
54.54,25.38,79.92,1.077,3,1,6,3,149.82
339.93,127.08,467.01,1.172,0,2,5,3,806.2
145.55,71.82,217.37,0.962,7,1,6,2,440.82
43.48,13.09,56.56999999999999,1.14,7,1,4,3,126.96
266.62,145.15,411.77,1.089,6,0,3,3,1164.8
53.01,22.31,75.32,1.077,3,3,3,3,245.9
257.32,141.41,398.73,0.913,10,1,6,0,885.53
360.78,176.48,537.26,0.953,9,2,3,1,811.59
137.14,71.13,208.26999999999998,0.863,1,2,1,1,256.24
116.84,67.54,184.38,0.962,4,1,6,2,345.61
42.53,18.56,61.09,1.09,1,1,3,0,126.3
364.5,120.93,485.43,0.972,10,0,6,2,1121.91
74.03,32.38,106.41,0.962,7,1,3,2,208.11
38.39,21.35,59.74,0.958,7,0,5,0,146.85
427.03,184.99,612.02,0.963,2,1,2,2,1381.96
68.05,39.2,107.25,1.09,1,1,5,0,195.97
98.05,43.05,141.1,0.95,3,2,3,1,189.48
271.9,187.52,459.41999999999996,0.913,10,1,2,0,931.35
347.82,213.15,560.97,1.034,9,0,3,0,1612.92
416.08,139.41,555.49,0.913,10,2,6,0,1041.96
155.52,105.28,260.8,0.962,4,1,0,2,535.6
198.75,127.31,326.06,0.863,1,3,0,1,798.33
75.67,49.28,124.95,0.958,7,2,6,0,215.98
171.0,73.36,244.36,0.906,1,2,1,2,301.72
392.68,218.48,611.16,1.172,0,1,6,3,1522.35
243.72,86.69,330.40999999999997,0.962,4,1,3,2,681.71
287.82,128.66,416.48,1.155,10,1,3,3,890.39
123.99,75.72,199.70999999999998,0.936,9,1,1,2,378.0
584.5,225.86,810.36,0.991,10,1,5,1,1618.0
1236.91,598.57,1835.48,1.077,8,2,0,0,3271.27
189.21,89.33,278.54,0.875,0,0,1,2,655.69
205.58,118.59,324.17,1.089,6,2,2,3,532.42
569.13,240.46,809.59,0.913,10,1,3,0,1860.49
181.86,87.28,269.14,1.09,1,1,1,0,491.13
512.26,232.99,745.25,1.043,8,1,2,3,2159.74
323.03,130.48,453.51,1.077,8,1,0,0,1212.6
59.12,37.47,96.59,0.987,3,2,4,0,148.14
418.32,143.86,562.1800000000001,0.891,6,0,4,2,1430.28
418.53,150.68,569.21,1.079,6,0,1,0,1515.93
218.34,105.63,323.97,1.034,9,1,3,0,767.92
67.85,39.03,106.88,0.962,7,3,3,2,310.31
138.21,66.98,205.19,0.962,7,0,6,2,495.85
168.09,110.23,278.32,0.936,9,1,2,2,564.23
349.47,111.53,461.0,1.021,5,2,5,0,769.87
385.51,117.52,503.03,0.914,8,0,4,1,1493.16
695.37,478.62,1173.99,1.089,6,1,1,3,2990.16
194.28,109.6,303.88,1.143,5,2,0,3,614.3
56.59,34.39,90.98,0.987,3,2,5,0,139.41
176.62,71.4,248.02,1.034,9,1,0,0,508.27
341.49,211.55,553.04,0.97,4,1,2,1,964.83
844.21,429.12,1273.33,1.067,2,2,4,0,2397.52
378.43,147.53,525.96,1.034,9,2,1,0,884.08
149.11,61.06,210.17000000000002,1.056,0,1,6,0,511.68
452.15,192.96,645.11,0.831,5,0,4,1,1776.75
139.69,96.58,236.26999999999998,1.002,4,1,4,0,519.06
954.03,661.97,1616.0,0.98,8,2,0,2,3136.89
127.56,87.51,215.07,0.953,9,2,4,1,321.86
179.73,99.66,279.39,1.164,1,1,4,3,596.19
708.52,493.64,1202.1599999999999,0.963,2,1,3,2,2415.04
96.81,60.61,157.42000000000002,1.077,3,1,3,3,326.59
266.27,80.44,346.71,1.034,9,1,4,0,818.08
159.93,96.51,256.44,1.164,1,0,2,3,662.91
375.92,131.53,507.45000000000005,0.925,5,0,2,2,1332.76
282.69,159.78,442.47,0.991,10,0,2,1,956.13
726.59,448.8,1175.39,1.043,8,2,2,3,2202.61
605.88,376.85,982.73,0.972,10,1,2,2,1919.51
176.35,76.48,252.82999999999998,0.831,5,1,2,1,555.85
123.25,55.39,178.64,0.906,1,2,5,2,225.43
56.47,30.45,86.92,0.911,7,1,6,1,165.65
152.04,84.39,236.43,1.056,0,0,2,0,652.05
324.17,193.2,517.37,1.172,0,1,1,3,1319.68
333.98,103.69,437.67,1.089,6,2,4,3,712.84
87.8,59.38,147.18,0.863,1,2,3,1,182.12
46.75,29.03,75.78,0.976,3,0,4,2,164.12
177.41,117.37,294.78,0.891,6,0,6,2,803.67
311.24,169.34,480.58000000000004,1.067,2,0,2,0,1311.65
241.37,77.92,319.29,0.913,10,1,5,0,684.82
599.46,245.05,844.51,1.043,8,2,5,3,1812.18
44.07,28.26,72.33,0.976,3,0,2,2,143.64
259.73,120.63,380.36,1.034,9,3,3,0,1272.18
138.4,90.36,228.76,0.936,9,0,0,2,564.19
74.5,51.54,126.03999999999999,0.987,3,1,2,0,227.56
670.44,455.1,1125.54,0.914,8,2,3,1,2092.27
192.86,64.71,257.57,0.962,4,2,4,2,392.54
133.22,78.48,211.7,0.958,7,1,4,0,404.78
76.18,48.66,124.84,1.164,1,1,6,3,249.56
203.66,131.32,334.98,1.089,6,3,3,3,1196.32
434.32,192.14,626.46,0.98,8,1,1,2,1592.69
224.12,96.84,320.96000000000004,1.021,5,0,1,0,993.43
180.73,117.15,297.88,0.863,1,2,4,1,367.01
230.65,120.17,350.82,1.065,4,1,5,3,704.0
374.02,127.99,502.01,1.143,5,3,3,3,1988.16
199.09,75.3,274.39,0.97,4,1,0,1,468.1
604.32,334.69,939.01,1.067,2,2,5,0,1830.72
590.47,216.36,806.83,0.963,2,1,5,2,1802.11
378.17,203.93,582.1,0.925,5,0,0,2,1418.66
306.47,145.92,452.39,0.963,2,0,5,2,1244.07
158.36,67.76,226.12,0.906,1,0,3,2,542.09
687.61,480.52,1168.13,1.077,8,2,2,0,2502.83
267.93,136.9,404.83000000000004,1.056,0,2,0,0,728.97
392.04,170.43,562.47,1.034,9,2,2,0,930.77
90.3,44.11,134.41,0.906,1,1,0,2,253.85
303.63,131.8,435.43,1.065,4,1,6,3,888.93
545.49,255.32,800.81,1.089,6,2,6,3,1558.32
443.02,242.94,685.96,0.831,5,1,6,1,1384.67
289.69,90.51,380.2,0.963,6,0,2,1,956.15
152.46,97.92,250.38,0.953,9,2,5,1,355.08
685.91,346.43,1032.34,0.983,2,2,1,1,1587.43
509.24,343.9,853.14,1.079,6,2,4,0,1580.92
234.12,113.35,347.47,1.172,0,1,0,3,872.36
761.65,374.45,1136.1,0.996,2,2,0,3,1971.03
396.03,254.78,650.81,0.996,2,0,6,3,1916.21
527.76,365.59,893.3499999999999,1.021,5,0,0,0,2693.85
156.01,101.27,257.28,1.002,4,2,1,0,382.13
82.13,26.15,108.28,0.906,1,2,5,2,149.79
378.34,158.89,537.23,0.913,10,2,0,0,971.8
726.36,313.91,1040.27,0.972,10,2,5,2,1586.13
367.66,227.15,594.8100000000001,0.963,2,2,1,2,906.28
408.01,229.93,637.94,1.143,5,2,2,3,1164.17
201.62,133.85,335.47,1.079,6,1,3,0,777.75
92.09,43.48,135.57,0.962,7,2,3,2,191.99
126.06,85.63,211.69,1.002,4,2,5,0,337.09
218.34,74.6,292.94,0.97,4,0,5,1,641.03
420.29,251.1,671.39,0.925,5,1,6,2,1468.15
303.51,95.88,399.39,1.077,8,1,2,0,1036.18
391.46,169.32,560.78,1.172,0,2,5,3,1005.78
344.89,174.73,519.62,0.963,2,1,4,2,1022.61
42.96,18.71,61.67,0.962,7,2,0,2,96.14
35.33,14.53,49.86,0.911,7,2,6,1,74.23
135.58,71.85,207.43,0.911,7,1,4,1,342.01
378.83,138.68,517.51,1.056,0,2,0,0,873.04
266.18,151.68,417.86,1.021,5,1,4,0,958.89
30.14,16.71,46.85,0.987,3,3,6,0,127.51
608.03,344.22,952.25,1.043,8,2,5,3,2059.28
451.37,271.03,722.4,0.991,10,1,0,1,1287.82
67.14,37.49,104.63,0.95,3,2,3,1,140.0
436.24,290.24,726.48,1.143,5,1,6,3,1854.12
556.1,181.61,737.71,1.021,5,0,0,0,2186.57
572.74,274.65,847.39,0.996,2,0,3,3,2386.8
49.44,24.06,73.5,0.987,3,3,2,0,233.69
108.79,61.92,170.71,0.863,1,0,2,1,339.13
274.45,124.52,398.96999999999997,0.891,6,0,2,2,995.38
83.32,37.33,120.64999999999999,0.962,4,1,0,2,208.77
49.88,27.85,77.73,0.962,7,1,6,2,135.02
33.05,18.45,51.5,0.911,7,2,5,1,74.07
278.8,94.93,373.73,1.172,0,1,0,3,935.24
891.63,429.41,1321.04,0.963,2,1,5,2,2993.79
389.21,176.58,565.79,0.953,9,1,0,1,1001.57
103.27,43.92,147.19,1.164,1,3,0,3,426.82
213.88,145.94,359.82,1.089,6,2,4,3,623.58
954.46,320.01,1274.47,0.98,8,1,6,2,3020.62
788.07,387.06,1175.13,0.972,10,2,2,2,1862.77
96.99,61.17,158.16,0.863,1,2,1,1,214.2
54.32,37.29,91.61,0.95,3,2,2,1,120.47
599.87,216.08,815.95,0.925,5,2,1,2,1457.64
728.19,400.04,1128.23,0.991,10,1,3,1,2230.58
43.32,27.77,71.09,0.987,3,1,1,0,143.99
135.86,59.97,195.83,1.09,1,2,0,0,290.33
59.97,37.04,97.00999999999999,0.863,1,2,0,1,120.46
71.64,49.6,121.24000000000001,0.95,3,3,3,1,314.18
85.73,32.69,118.42,0.906,1,1,6,2,221.14
273.18,176.54,449.72,0.902,0,1,3,1,961.27
277.42,172.73,450.15,0.953,9,1,1,1,873.66
252.85,106.04,358.89,1.002,4,2,4,0,547.81
195.45,75.89,271.34,1.09,1,2,4,0,424.64
316.81,182.8,499.61,1.062,9,1,4,3,1083.61
303.32,116.56,419.88,1.079,6,1,6,0,1027.73
190.42,57.3,247.71999999999997,1.021,5,3,6,0,828.5
285.71,171.82,457.53,0.991,10,0,3,1,1157.13
245.67,82.41,328.08,0.97,4,0,5,1,733.08
409.29,140.96,550.25,0.991,10,1,2,1,1139.13
360.68,206.56,567.24,0.953,9,2,0,1,784.99
143.56,83.85,227.41,0.936,9,0,2,2,592.2
145.7,59.22,204.92,1.062,9,2,1,3,333.6
253.31,148.93,402.24,1.089,6,1,3,3,1010.32
87.34,44.59,131.93,0.976,3,1,2,2,232.39
537.97,187.2,725.1700000000001,1.155,10,2,1,3,1414.11
398.99,141.06,540.05,0.983,2,2,1,1,886.47
130.82,49.14,179.95999999999998,0.902,0,2,3,1,285.22
118.81,75.53,194.34,1.034,9,2,2,0,301.97
206.04,91.5,297.53999999999996,0.891,6,3,4,2,894.21
372.16,252.02,624.1800000000001,0.875,0,0,5,2,1548.52
54.29,31.21,85.5,0.863,1,1,5,1,144.32
111.1,39.51,150.60999999999999,0.962,7,3,3,2,421.03
328.31,223.35,551.66,0.875,0,1,3,2,1175.28
253.92,81.07,334.99,0.97,4,2,0,1,455.86
849.24,325.73,1174.97,0.914,8,1,3,1,2528.5
192.46,121.03,313.49,1.002,4,2,3,0,540.08
317.64,122.7,440.34,1.065,4,1,0,3,995.9
321.58,137.07,458.65,0.936,9,1,1,2,966.29
468.55,156.56,625.11,1.089,6,1,2,3,1329.06
226.83,77.11,303.94,1.065,4,0,2,3,847.72
540.16,367.06,907.22,1.089,6,3,6,3,2959.92
417.81,127.0,544.81,0.925,5,1,3,2,1181.32
657.39,316.84,974.23,1.155,10,2,6,3,1671.98
45.07,13.83,58.9,0.962,7,1,6,2,118.64
84.74,35.36,120.1,0.97,4,2,2,1,177.33
81.36,42.9,124.25999999999999,1.077,3,2,3,3,200.17
412.04,134.44,546.48,0.983,2,1,2,1,1074.9
117.91,67.05,184.95999999999998,0.953,9,1,4,1,366.6
71.33,25.42,96.75,1.164,1,1,0,3,201.01
118.35,60.47,178.82,0.95,3,2,0,1,251.36
375.25,156.18,531.4300000000001,0.902,0,2,3,1,792.36
331.26,165.27,496.53,1.002,4,1,6,0,983.17
570.76,226.45,797.21,0.996,2,2,6,3,1530.83
244.13,78.12,322.25,0.925,5,2,4,2,578.59
172.59,118.09,290.68,0.902,0,0,0,1,655.35
385.14,149.3,534.44,1.143,5,1,0,3,1323.01
286.7,198.53,485.23,1.062,9,1,1,3,1065.07
464.24,212.66,676.9,1.143,5,0,4,3,2267.79
243.07,142.76,385.83,1.062,9,0,4,3,1055.04
145.22,87.92,233.14,0.911,7,1,3,1,454.46
181.79,94.68,276.47,1.002,4,0,5,0,755.59
616.42,364.64,981.06,0.891,6,2,5,2,1420.13
642.05,192.73,834.78,0.963,6,2,4,1,1352.69
198.92,63.25,262.16999999999996,1.164,1,1,0,3,559.44
33.91,10.96,44.87,0.958,7,1,5,0,92.87
52.59,27.64,80.23,0.987,3,1,6,0,151.52
726.41,501.04,1227.45,1.155,10,0,3,3,3201.01
110.81,41.01,151.82,1.056,0,2,3,0,281.1
197.89,105.28,303.16999999999996,0.962,4,3,4,2,894.3
68.71,45.45,114.16,0.976,3,0,4,2,266.57
