product_id,category,material_cost,labor_cost,complexity_level,region,season,final_selling_price
P00113,woodwork,647.26,305.94,medium,West Bengal,Regular,1720.29
P00114,home_decor,244.04,97.06,simple,Uttar Pradesh,Wedding,572.85
P00115,bamboo_cane,56.29,20.33,medium,Rajasthan,Diwali,141.35
P00116,woodwork,683.52,220.27,complex,Odisha,Wedding,2781.12
P00117,jewelry,598.76,394.37,medium,Tamil Nadu,Summer_Festival,2201.96
P00118,bags_accessories,177.37,65.34,complex,Odisha,Wedding,722.58
P00119,home_decor,208.69,132.61,complex,Gujarat,Summer_Festival,755.39
P00120,handmade_food,75.68,30.04,simple,Gujarat,Summer_Festival,133.19
P00121,handmade_food,75.55,50.83,complex,Odisha,Diwali,291.46
P00122,jewelry,210.49,68.48,simple,West Bengal,Summer_Festival,514.6
P00123,dress,677.05,409.0,complex,Rajasthan,Regular,2833.47
P00124,dress,274.69,175.88,medium,Gujarat,Wedding,1179.95
P00125,textile,161.5,72.95,simple,Gujarat,Diwali,438.92
P00126,bamboo_cane,172.47,103.52,simple,Tamil Nadu,Summer_Festival,399.3
P00127,jewelry,449.34,228.82,simple,Tamil Nadu,Regular,1054.42
P00128,handmade_food,63.92,31.01,medium,Maharashtra,Summer_Festival,161.76
P00129,sarees,726.43,331.68,medium,Rajasthan,Diwali,2706.32
P00130,metalwork,214.29,144.85,very_complex,Gujarat,Regular,1104.94
P00131,dress,815.04,406.03,medium,Uttar Pradesh,Regular,2662.48
P00132,bags_accessories,193.52,77.29,complex,Odisha,Diwali,783.9
P00133,woodwork,726.06,317.17,medium,West Bengal,Diwali,2489.76
P00134,woodwork,501.37,258.68,medium,Uttar Pradesh,Summer_Festival,1551.96
P00135,woodwork,584.69,337.7,complex,West Bengal,Regular,2232.65
P00136,bags_accessories,387.72,169.44,medium,Uttar Pradesh,Regular,1027.22
P00137,sarees,484.02,258.7,medium,Odisha,Regular,1643.34
P00138,home_decor,331.67,174.48,simple,Uttar Pradesh,Regular,736.48
P00139,dress,739.87,332.77,simple,Maharashtra,Wedding,1881.91
P00140,jewelry,559.81,195.44,complex,Rajasthan,Wedding,2197.58
P00141,handmade_food,112.88,73.14,complex,Odisha,Regular,388.38
P00142,dress,720.97,275.58,medium,Maharashtra,Diwali,2520.95
P00143,handmade_food,78.37,52.35,simple,Maharashtra,Summer_Festival,172.95
P00144,textile,276.12,86.46,medium,Gujarat,Diwali,880.21
P00145,bamboo_cane,107.03,71.28,simple,Maharashtra,Summer_Festival,236.69
P00146,bags_accessories,299.06,111.02,medium,Uttar Pradesh,Wedding,1048.07
P00147,pottery,94.21,35.21,medium,Odisha,Summer_Festival,237.41
P00148,sarees,546.17,205.51,medium,Gujarat,Wedding,1808.68
P00149,dress,699.84,357.66,medium,Rajasthan,Wedding,2657.71
P00150,pottery,48.63,18.13,medium,Odisha,Regular,130.29
P00152,sarees,1090.71,339.03,simple,West Bengal,Regular,2295.41
P00153,dress,616.53,268.63,simple,Maharashtra,Diwali,1651.31
P00154,jewelry,194.75,77.37,medium,Maharashtra,Summer_Festival,620.73
P00155,dress,667.66,255.04,complex,Uttar Pradesh,Summer_Festival,2377.61
P00156,textile,162.37,50.43,simple,Maharashtra,Diwali,343.69
P00157,woodwork,746.37,410.43,medium,West Bengal,Wedding,2618.05
P00158,textile,349.2,152.98,medium,Maharashtra,Summer_Festival,1084.53
P00159,home_decor,336.08,203.48,medium,Uttar Pradesh,Regular,911.32
P00160,handmade_food,72.4,26.99,medium,Gujarat,Wedding,200.95
P00161,pottery,78.31,30.32,simple,West Bengal,Diwali,179.97
P00162,woodwork,614.73,352.41,simple,Tamil Nadu,Diwali,1775.95
P00163,metalwork,186.95,86.39,complex,Rajasthan,Wedding,786.82
P00164,sarees,616.42,250.64,simple,Odisha,Diwali,1773.82
P00165,textile,152.61,101.6,medium,Rajasthan,Diwali,560.8
P00166,handmade_food,116.28,43.46,medium,West Bengal,Summer_Festival,260.23
P00167,jewelry,279.91,123.8,simple,Tamil Nadu,Regular,674.23
P00168,sarees,775.98,528.93,medium,Odisha,Wedding,3208.0
P00169,dress,383.58,206.38,simple,Uttar Pradesh,Regular,859.25
P00170,bags_accessories,331.27,113.51,medium,West Bengal,Diwali,912.67
P00171,pottery,101.79,49.25,medium,Tamil Nadu,Regular,251.58
P00172,textile,181.64,97.38,complex,Uttar Pradesh,Regular,651.03
P00173,bags_accessories,385.07,184.22,very_complex,Tamil Nadu,Diwali,1840.37
P00175,dress,354.85,246.64,simple,Rajasthan,Summer_Festival,1100.25
P00176,handmade_food,80.02,39.15,medium,Rajasthan,Regular,193.86
P00177,metalwork,213.41,100.03,complex,Gujarat,Summer_Festival,836.53
P00178,woodwork,697.35,219.53,complex,West Bengal,Regular,2242.88
P00179,jewelry,548.25,280.76,medium,Tamil Nadu,Wedding,2044.81
P00180,sarees,947.39,583.87,simple,Maharashtra,Summer_Festival,2634.22
P00181,textile,363.0,169.52,medium,Tamil Nadu,Wedding,1236.61
P00182,textile,258.68,174.77,simple,Maharashtra,Diwali,792.38
P00183,sarees,406.25,127.98,simple,Tamil Nadu,Wedding,1085.42
P00184,dress,264.19,114.8,simple,Rajasthan,Wedding,730.94
P00185,pottery,72.55,30.1,simple,Gujarat,Diwali,158.53
P00186,metalwork,693.25,326.6,simple,Rajasthan,Diwali,1718.54
P00187,dress,758.59,306.16,simple,Gujarat,Wedding,2080.53
P00189,woodwork,589.79,320.31,simple,Uttar Pradesh,Diwali,1573.91
P00190,handmade_food,33.31,22.75,simple,Rajasthan,Wedding,93.16
P00191,metalwork,636.08,426.87,simple,Maharashtra,Regular,1752.24
P00192,bags_accessories,308.81,111.65,medium,West Bengal,Wedding,1046.02
P00193,bamboo_cane,45.58,29.99,medium,Tamil Nadu,Regular,136.91
P00194,bags_accessories,138.85,91.02,complex,Gujarat,Regular,601.96
P00195,handmade_food,96.17,39.68,complex,Rajasthan,Diwali,308.88
P00196,bamboo_cane,119.34,39.67,simple,Tamil Nadu,Summer_Festival,204.9
P00197,metalwork,635.6,321.89,very_complex,West Bengal,Summer_Festival,3261.31
P00198,jewelry,404.58,164.59,simple,West Bengal,Summer_Festival,1028.62
P00199,jewelry,220.8,80.41,complex,Uttar Pradesh,Diwali,857.32
P00200,home_decor,268.73,100.96,very_complex,Uttar Pradesh,Regular,1114.14
P00201,handmade_food,30.46,19.13,medium,Maharashtra,Regular,79.26
P00203,bags_accessories,177.94,98.51,very_complex,Rajasthan,Summer_Festival,877.78
P00204,jewelry,158.29,74.85,simple,Gujarat,Wedding,478.08
P00205,metalwork,528.34,172.84,simple,Uttar Pradesh,Summer_Festival,1060.4
P00206,pottery,86.83,28.06,complex,Rajasthan,Wedding,282.56
P00207,textile,233.79,130.7,complex,Maharashtra,Diwali,1024.98
P00208,sarees,746.2,468.25,simple,Rajasthan,Wedding,2354.85
P00210,sarees,658.05,418.51,medium,Tamil Nadu,Diwali,2885.37
P00211,woodwork,770.52,277.71,medium,Gujarat,Regular,2016.39
P00212,metalwork,680.49,411.04,very_complex,Tamil Nadu,Regular,3236.8
P00213,bags_accessories,168.99,65.1,medium,Uttar Pradesh,Wedding,496.4
P00214,home_decor,207.31,107.24,complex,West Bengal,Regular,656.57
P00215,home_decor,288.15,183.81,complex,Tamil Nadu,Summer_Festival,1168.0
P00216,jewelry,560.33,384.95,complex,Uttar Pradesh,Diwali,2607.84
P00217,home_decor,243.97,97.35,simple,Maharashtra,Diwali,555.95
P00218,home_decor,168.0,90.07,simple,Odisha,Wedding,427.77
P00219,pottery,77.1,37.93,simple,West Bengal,Wedding,197.12
P00220,bags_accessories,333.96,105.48,medium,Rajasthan,Summer_Festival,896.25
P00221,dress,599.63,184.29,simple,Uttar Pradesh,Diwali,1437.32
P00222,woodwork,243.45,125.06,simple,West Bengal,Summer_Festival,624.81
P00223,pottery,68.65,47.44,complex,West Bengal,Wedding,293.38
P00224,handmade_food,45.07,15.41,complex,West Bengal,Wedding,155.08
P00225,jewelry,427.47,233.05,complex,Rajasthan,Wedding,1947.48
P00227,bags_accessories,345.19,166.01,complex,Uttar Pradesh,Wedding,1514.53
P00228,home_decor,275.7,148.14,simple,Odisha,Regular,611.21
P00229,home_decor,343.48,149.33,complex,West Bengal,Regular,1033.71
P00230,sarees,966.44,567.96,medium,Gujarat,Summer_Festival,3367.2
P00231,dress,339.68,194.33,very_complex,Gujarat,Summer_Festival,1640.75
P00232,pottery,145.29,67.76,complex,Rajasthan,Wedding,612.34
P00233,metalwork,693.21,219.08,simple,Uttar Pradesh,Wedding,1762.66
P00234,home_decor,211.4,137.28,medium,Tamil Nadu,Wedding,822.55
P00235,bamboo_cane,85.42,37.9,medium,Gujarat,Regular,203.57
P00236,textile,139.47,81.78,medium,Maharashtra,Diwali,536.74
P00237,sarees,915.14,425.73,medium,Odisha,Wedding,3249.56
P00238,home_decor,200.23,101.3,simple,Uttar Pradesh,Diwali,471.8
P00239,textile,193.64,89.0,simple,Rajasthan,Regular,454.31
P00240,metalwork,368.16,145.35,simple,Uttar Pradesh,Summer_Festival,765.86
P00241,handmade_food,76.78,33.38,simple,Odisha,Summer_Festival,160.26
P00242,pottery,114.81,42.11,medium,Gujarat,Summer_Festival,279.94
P00243,home_decor,224.05,137.28,medium,Maharashtra,Diwali,787.33
P00244,dress,344.09,118.63,medium,Maharashtra,Wedding,1101.76
P00245,textile,115.51,64.22,simple,Tamil Nadu,Summer_Festival,267.49
P00246,metalwork,428.98,135.83,very_complex,Tamil Nadu,Diwali,1811.55
P00247,metalwork,159.56,68.49,medium,Gujarat,Regular,486.77
P00248,sarees,886.62,502.49,medium,Maharashtra,Regular,2848.68
P00249,woodwork,604.06,415.57,complex,West Bengal,Summer_Festival,2360.78
P00250,dress,874.34,351.59,simple,Odisha,Diwali,2328.63
P00252,dress,756.86,505.18,complex,Gujarat,Summer_Festival,3460.62
P00253,metalwork,341.72,124.29,medium,Rajasthan,Wedding,1113.35
P00254,home_decor,283.16,95.2,complex,Rajasthan,Summer_Festival,852.29
P00255,bags_accessories,198.11,112.34,complex,Tamil Nadu,Wedding,949.14
P00256,textile,360.67,162.4,complex,Maharashtra,Regular,1204.37
P00257,sarees,739.75,339.15,simple,Maharashtra,Diwali,2191.71
P00258,home_decor,141.36,46.55,medium,Rajasthan,Regular,349.07
P00259,handmade_food,78.81,53.64,complex,Rajasthan,Regular,294.62
P00260,metalwork,231.95,118.45,complex,Rajasthan,Summer_Festival,838.16
P00261,woodwork,648.13,379.93,medium,Maharashtra,Wedding,2415.88
P00262,metalwork,506.11,333.63,simple,Maharashtra,Summer_Festival,1254.74
P00263,bags_accessories,243.75,92.09,medium,Uttar Pradesh,Diwali,702.86
P00264,woodwork,384.37,238.77,simple,Uttar Pradesh,Wedding,1130.44
P00265,handmade_food,54.54,25.38,medium,West Bengal,Wedding,149.82
P00266,bags_accessories,339.93,127.08,simple,Uttar Pradesh,Wedding,806.2
P00267,pottery,145.55,71.82,medium,West Bengal,Summer_Festival,440.82
P00268,pottery,43.48,13.09,medium,Tamil Nadu,Wedding,126.96
P00269,metalwork,266.62,145.15,complex,Rajasthan,Wedding,1164.8
P00270,handmade_food,53.01,22.31,very_complex,Rajasthan,Wedding,245.9
P00271,woodwork,257.32,141.41,medium,West Bengal,Diwali,885.53
P00272,textile,360.78,176.48,simple,Rajasthan,Regular,811.59
P00273,bamboo_cane,137.14,71.13,simple,Maharashtra,Regular,256.24
P00274,home_decor,116.84,67.54,medium,West Bengal,Summer_Festival,345.61
P00275,bamboo_cane,42.53,18.56,medium,Rajasthan,Diwali,126.3
P00276,woodwork,364.5,120.93,complex,West Bengal,Summer_Festival,1121.91
P00277,pottery,74.03,32.38,medium,Rajasthan,Summer_Festival,208.11
P00278,pottery,38.39,21.35,complex,Uttar Pradesh,Diwali,146.85
P00279,dress,427.03,184.99,medium,Odisha,Summer_Festival,1381.96
P00281,bamboo_cane,68.05,39.2,medium,Uttar Pradesh,Diwali,195.97
P00282,handmade_food,98.05,43.05,simple,Rajasthan,Regular,189.48
P00283,woodwork,271.9,187.52,medium,Odisha,Diwali,931.35
P00285,textile,347.82,213.15,complex,Rajasthan,Diwali,1612.92
P00286,woodwork,416.08,139.41,simple,West Bengal,Diwali,1041.96
P00287,home_decor,155.52,105.28,medium,Gujarat,Summer_Festival,535.6
P00288,bamboo_cane,198.75,127.31,very_complex,Gujarat,Regular,798.33
P00289,pottery,75.67,49.28,simple,West Bengal,Diwali,215.98
P00290,bamboo_cane,171.0,73.36,simple,Maharashtra,Summer_Festival,301.72
P00291,bags_accessories,392.68,218.48,medium,West Bengal,Wedding,1522.35
P00292,home_decor,243.72,86.69,medium,Rajasthan,Summer_Festival,681.71
P00293,woodwork,287.82,128.66,medium,Rajasthan,Wedding,890.39
P00294,textile,123.99,75.72,medium,Maharashtra,Summer_Festival,378.0
P00295,woodwork,584.5,225.86,medium,Uttar Pradesh,Regular,1618.0
P00296,sarees,1236.91,598.57,simple,Gujarat,Diwali,3271.27
P00297,bags_accessories,189.21,89.33,complex,Maharashtra,Summer_Festival,655.69
P00298,metalwork,205.58,118.59,simple,Odisha,Wedding,532.42
P00299,woodwork,569.13,240.46,medium,Rajasthan,Diwali,1860.49
P00300,bamboo_cane,181.86,87.28,medium,Maharashtra,Diwali,491.13
P00301,sarees,512.26,232.99,medium,Odisha,Wedding,2159.74
P00302,sarees,323.03,130.48,medium,Gujarat,Diwali,1212.6
P00303,handmade_food,59.12,37.47,simple,Tamil Nadu,Diwali,148.14
P00304,metalwork,418.32,143.86,complex,Tamil Nadu,Summer_Festival,1430.28
P00305,metalwork,418.53,150.68,complex,Maharashtra,Diwali,1515.93
P00306,textile,218.34,105.63,medium,Rajasthan,Diwali,767.92
P00307,pottery,67.85,39.03,very_complex,Rajasthan,Summer_Festival,310.31
P00308,pottery,138.21,66.98,complex,West Bengal,Summer_Festival,495.85
P00309,textile,168.09,110.23,medium,Odisha,Summer_Festival,564.23
P00310,jewelry,349.47,111.53,simple,Uttar Pradesh,Diwali,769.87
P00311,sarees,385.51,117.52,complex,Tamil Nadu,Regular,1493.16
P00312,metalwork,695.37,478.62,medium,Maharashtra,Wedding,2990.16
P00313,jewelry,194.28,109.6,simple,Gujarat,Wedding,614.3
P00314,handmade_food,56.59,34.39,simple,Uttar Pradesh,Diwali,139.41
P00315,textile,176.62,71.4,medium,Gujarat,Diwali,508.27
P00316,home_decor,341.49,211.55,medium,Odisha,Regular,964.83
P00317,dress,844.21,429.12,simple,Tamil Nadu,Diwali,2397.52
P00318,textile,378.43,147.53,simple,Maharashtra,Diwali,884.08
P00319,bags_accessories,149.11,61.06,medium,West Bengal,Diwali,511.68
P00320,jewelry,452.15,192.96,complex,Tamil Nadu,Regular,1776.75
P00321,home_decor,139.69,96.58,medium,Tamil Nadu,Diwali,519.06
P00322,sarees,954.03,661.97,simple,Gujarat,Summer_Festival,3136.89
P00323,textile,127.56,87.51,simple,Tamil Nadu,Regular,321.86
P00325,bamboo_cane,179.73,99.66,medium,Tamil Nadu,Wedding,596.19
P00326,dress,708.52,493.64,medium,Rajasthan,Summer_Festival,2415.04
P00327,handmade_food,96.81,60.61,medium,Rajasthan,Wedding,326.59
P00328,textile,266.27,80.44,medium,Tamil Nadu,Diwali,818.08
P00329,bamboo_cane,159.93,96.51,complex,Odisha,Wedding,662.91
P00330,jewelry,375.92,131.53,complex,Odisha,Summer_Festival,1332.76
P00331,woodwork,282.69,159.78,complex,Odisha,Regular,956.13
P00332,sarees,726.59,448.8,simple,Odisha,Wedding,2202.61
P00334,woodwork,605.88,376.85,medium,Odisha,Summer_Festival,1919.51
P00335,jewelry,176.35,76.48,medium,Odisha,Regular,555.85
P00336,bamboo_cane,123.25,55.39,simple,Uttar Pradesh,Summer_Festival,225.43
P00337,pottery,56.47,30.45,medium,West Bengal,Regular,165.65
P00338,bags_accessories,152.04,84.39,complex,Odisha,Diwali,652.05
P00339,bags_accessories,324.17,193.2,medium,Maharashtra,Wedding,1319.68
P00340,metalwork,333.98,103.69,simple,Tamil Nadu,Wedding,712.84
P00341,bamboo_cane,87.8,59.38,simple,Rajasthan,Regular,182.12
P00342,handmade_food,46.75,29.03,complex,Tamil Nadu,Summer_Festival,164.12
P00343,metalwork,177.41,117.37,complex,West Bengal,Summer_Festival,803.67
P00344,dress,311.24,169.34,complex,Odisha,Diwali,1311.65
P00345,woodwork,241.37,77.92,medium,Uttar Pradesh,Diwali,684.82
P00346,sarees,599.46,245.05,simple,Uttar Pradesh,Wedding,1812.18
P00347,handmade_food,44.07,28.26,complex,Odisha,Summer_Festival,143.64
P00348,textile,259.73,120.63,very_complex,Rajasthan,Diwali,1272.18
P00349,textile,138.4,90.36,complex,Gujarat,Summer_Festival,564.19
P00350,handmade_food,74.5,51.54,medium,Odisha,Diwali,227.56
P00351,sarees,670.44,455.1,simple,Rajasthan,Regular,2092.27
P00352,home_decor,192.86,64.71,simple,Tamil Nadu,Summer_Festival,392.54
P00353,pottery,133.22,78.48,medium,Tamil Nadu,Diwali,404.78
P00354,bamboo_cane,76.18,48.66,medium,West Bengal,Wedding,249.56
P00355,metalwork,203.66,131.32,very_complex,Rajasthan,Wedding,1196.32
P00356,sarees,434.32,192.14,medium,Maharashtra,Summer_Festival,1592.69
P00357,jewelry,224.12,96.84,complex,Maharashtra,Diwali,993.43
P00358,bamboo_cane,180.73,117.15,simple,Tamil Nadu,Regular,367.01
P00359,home_decor,230.65,120.17,medium,Uttar Pradesh,Wedding,704.0
P00360,jewelry,374.02,127.99,very_complex,Rajasthan,Wedding,1988.16
P00361,home_decor,199.09,75.3,medium,Gujarat,Regular,468.1
P00362,dress,604.32,334.69,simple,Uttar Pradesh,Diwali,1830.72
P00363,dress,590.47,216.36,medium,Uttar Pradesh,Summer_Festival,1802.11
P00364,jewelry,378.17,203.93,complex,Gujarat,Summer_Festival,1418.66
P00365,dress,306.47,145.92,complex,Uttar Pradesh,Summer_Festival,1244.07
P00366,bamboo_cane,158.36,67.76,complex,Rajasthan,Summer_Festival,542.09
P00367,sarees,687.61,480.52,simple,Odisha,Diwali,2502.83
P00368,bags_accessories,267.93,136.9,simple,Gujarat,Diwali,728.97
P00369,textile,392.04,170.43,simple,Odisha,Diwali,930.77
P00370,bamboo_cane,90.3,44.11,medium,Gujarat,Summer_Festival,253.85
P00371,home_decor,303.63,131.8,medium,West Bengal,Wedding,888.93
P00372,metalwork,545.49,255.32,simple,West Bengal,Wedding,1558.32
P00373,jewelry,443.02,242.94,medium,West Bengal,Regular,1384.67
P00374,metalwork,289.69,90.51,complex,Odisha,Regular,956.15
P00375,textile,152.46,97.92,simple,Uttar Pradesh,Regular,355.08
P00376,dress,685.91,346.43,simple,Maharashtra,Regular,1587.43
P00377,metalwork,509.24,343.9,simple,Tamil Nadu,Diwali,1580.92
P00379,bags_accessories,234.12,113.35,medium,Gujarat,Wedding,872.36
P00380,dress,761.65,374.45,simple,Gujarat,Wedding,1971.03
P00381,dress,396.03,254.78,complex,West Bengal,Wedding,1916.21
P00382,jewelry,527.76,365.59,complex,Gujarat,Diwali,2693.85
P00383,home_decor,156.01,101.27,simple,Maharashtra,Diwali,382.13
P00384,bamboo_cane,82.13,26.15,simple,Uttar Pradesh,Summer_Festival,149.79
P00385,woodwork,378.34,158.89,simple,Gujarat,Diwali,971.8
P00386,woodwork,726.36,313.91,simple,Uttar Pradesh,Summer_Festival,1586.13
P00387,dress,367.66,227.15,simple,Maharashtra,Summer_Festival,906.28
P00388,jewelry,408.01,229.93,simple,Odisha,Wedding,1164.17
P00389,metalwork,201.62,133.85,medium,Rajasthan,Diwali,777.75
P00390,pottery,92.09,43.48,simple,Rajasthan,Summer_Festival,191.99
P00391,home_decor,126.06,85.63,simple,Uttar Pradesh,Diwali,337.09
